playerID,year,tmID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ
murphsh01w,8,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murphsh01w,9,DET,32,0,436,165,50,54,104,17,19,8,20,48,145,54,46,39,66,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murphsh01w,9,MIN,32,0,436,165,50,54,104,17,19,8,20,48,145,54,46,39,66,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murphsh01w,9,WAS,32,0,436,165,50,54,104,17,19,8,20,48,145,54,46,39,66,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murphsh01w,10,IND,49,3,574,202,63,67,130,25,25,10,31,67,193,68,52,43,86,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nagyan01w,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nagyan01w,2,NYL,23,23,694,97,10,53,63,118,17,8,55,55,79,31,26,21,39,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nagyan01w,3,SAC,46,23,907,131,10,62,72,142,19,11,78,80,110,44,30,23,51,20,1,4,0,30,8,0,4,4,3,0,1,3,2,4,3,3,2,0,0,0
nanch01w,10,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndiayas01w,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndiayas01w,2,DET,32,32,868,346,65,122,187,40,23,22,64,87,333,158,51,29,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndiayas01w,3,DET,64,63,1781,722,125,233,358,89,45,50,137,169,674,314,127,88,21,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndiayas01w,4,DET,64,63,1689,651,104,229,333,88,39,40,131,147,611,282,115,82,17,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndiayas01w,5,IND,43,34,846,295,49,127,176,40,20,13,67,68,291,136,41,23,2,0,0,2,0,6,1,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0
ndiayas01w,7,HOU,10,0,74,12,2,9,11,4,1,3,8,7,19,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndiayas01w,8,SEA,11,3,127,35,10,20,30,8,1,1,10,14,35,16,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ndongem01w,7,LAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemcoev01w,1,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nemcoev01w,2,CLE,14,14,443,185,9,32,41,23,15,8,27,29,164,67,24,22,71,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nevescl01w,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nevescl01w,2,DET,30,20,636,179,8,27,35,59,31,1,55,30,166,63,30,25,92,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nevescl01w,3,MIA,52,35,1043,274,11,53,64,93,52,1,83,51,260,97,38,33,144,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newtoch01w,6,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
newtoch01w,7,CHI,34,34,715,148,32,34,66,55,24,9,37,102,149,60,36,22,25,6,0,8,8,182,46,4,10,14,8,2,0,11,19,42,18,12,8,4,2,0
newtoch01w,8,SAC,61,45,1363,324,51,86,137,113,60,16,77,171,304,112,116,81,74,19,0,8,8,182,46,4,10,14,8,2,0,11,19,42,18,12,8,4,2,0
newtoch01w,9,SAC,61,45,1344,395,47,86,133,104,67,13,82,165,352,126,158,119,82,24,2,3,3,46,9,4,3,7,3,5,1,3,13,12,3,2,2,1,1,0
newtoch01w,10,SAC,60,34,1089,336,41,56,97,74,61,7,67,152,292,112,129,99,40,13,2,6,3,90,22,4,5,9,6,7,1,5,21,19,8,4,4,2,2,1
ngarsch01w,7,NYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ngoyibe01w,3,NYL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ngoyibe01w,6,SAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ngoyibe01w,7,CHI,26,0,251,111,17,44,61,5,5,2,25,45,81,46,26,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ngoyibe01w,9,IND,30,23,627,302,65,105,170,28,14,7,60,89,231,122,98,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nieuwma01w,6,LAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnamach01w,9,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nolande01w,2,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nolande01w,3,DET,27,0,545,192,16,37,53,30,17,6,35,43,194,64,53,43,73,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nolande01w,4,DET,59,32,1349,469,33,107,140,92,44,18,96,117,442,167,89,72,187,63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nolande01w,5,DET,64,64,1758,673,29,165,194,145,68,26,130,139,560,239,132,105,228,90,1,8,8,257,124,4,25,29,21,10,2,13,21,96,44,16,15,47,21,0
nolande01w,6,DET,66,66,2092,860,41,200,241,195,107,26,159,140,747,302,220,175,228,81,1,11,11,376,178,7,36,43,28,15,2,23,26,141,62,31,29,60,25,0
nolande01w,7,DET,67,67,2351,988,60,230,290,233,121,26,190,139,897,350,284,227,204,61,1,5,5,198,91,4,18,22,14,7,2,16,9,82,33,22,20,17,5,0
nolande01w,8,DET,67,67,2301,992,63,246,309,245,102,25,186,143,887,356,260,213,203,67,1,12,12,436,215,9,40,49,46,18,4,33,23,185,87,37,31,25,10,0
nolande01w,9,DET,68,68,2263,1021,67,234,301,256,96,23,168,148,905,393,179,150,230,85,1,21,21,769,386,18,92,110,84,25,5,48,48,336,152,60,52,68,30,0
nolande01w,10,DET,68,68,2319,1091,61,220,281,282,91,22,155,137,945,437,152,128,232,89,1,20,20,761,366,18,92,110,71,28,6,45,53,344,136,63,58,91,36,0
nygaava01w,1,POR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nygaava01w,2,POR,32,28,843,253,50,71,121,30,17,5,38,98,209,91,54,41,90,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nygaava01w,3,MIA,63,28,1102,329,63,93,156,40,23,7,52,146,281,119,57,42,139,49,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nygaava01w,4,LAS,60,22,702,196,40,62,102,19,17,3,27,97,173,71,16,11,113,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ogayu01w,9,PHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohldeni01w,5,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohldeni01w,6,MIN,34,34,1018,397,83,111,194,60,16,45,74,103,308,136,177,125,2,0,1,2,2,74,28,4,6,10,9,1,0,6,5,23,11,10,6,0,0,0
ohldeni01w,7,MIN,68,68,2056,779,146,242,388,138,37,67,158,195,600,269,319,241,4,0,2,2,2,74,28,4,6,10,9,1,0,6,5,23,11,10,6,0,0,0
ohldeni01w,8,MIN,68,68,1908,709,124,260,384,132,41,47,158,191,557,253,273,203,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohldeni01w,9,MIN,68,68,1792,719,130,268,398,110,37,45,156,226,607,248,292,223,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ohldeni01w,10,PHO,68,68,1481,589,113,207,320,101,27,42,132,215,503,201,226,187,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oneilkr01w,9,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osipoir01w,7,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owenhe01w,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owenssh01w,1,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owenssh01w,3,CHA,31,16,605,131,47,50,97,21,11,26,54,95,131,51,54,29,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pageda01w,9,CON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pagemu01w,1,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pagemu01w,2,WAS,32,32,1046,314,79,129,208,64,23,32,63,103,222,131,92,52,0,0,2,2,2,69,11,2,4,6,1,2,0,4,5,9,4,4,3,0,0,0
pagemu01w,3,WAS,64,64,2035,539,153,232,385,119,53,68,123,191,453,231,128,73,17,4,4,2,2,69,11,2,4,6,1,2,0,4,5,9,4,4,3,0,0,0
pagemu01w,4,WAS,64,47,1739,433,129,203,332,92,44,51,105,167,426,188,89,51,21,6,2,5,0,113,48,6,16,22,4,1,4,3,12,27,17,15,14,0,0,0
pagemu01w,5,WAS,66,49,1600,421,117,190,307,72,32,39,86,180,415,171,109,72,16,7,0,5,0,113,48,6,16,22,4,1,4,3,12,27,17,15,14,0,0,0
pagemu01w,6,WAS,67,53,1659,397,102,190,292,71,43,40,71,186,395,164,96,64,15,5,1,3,3,90,11,3,11,14,4,0,1,3,5,16,5,2,1,0,0,0
pagemu01w,7,LAS,67,23,1398,292,61,162,223,61,40,25,53,141,294,128,48,30,25,6,1,3,3,90,11,3,11,14,4,0,1,3,5,16,5,2,1,0,0,0
pagemu01w,8,LAS,68,8,1279,275,61,143,204,58,32,18,53,119,259,113,54,43,25,6,1,5,1,118,28,10,13,23,3,3,2,2,11,29,9,11,9,2,1,0
pagemu01w,9,LAS,68,12,1317,330,73,159,232,78,31,18,55,131,310,137,70,54,13,2,1,5,1,118,28,10,13,23,3,3,2,2,11,29,9,11,9,2,1,0
paigeyo01w,6,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paliesa01w,7,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palmewe01w,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palmewe01w,2,DET,32,30,914,441,67,152,219,39,20,10,65,112,373,167,135,95,48,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palmewe01w,3,DET,54,52,1565,674,105,268,373,62,43,14,113,176,588,258,194,135,81,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palmewe01w,3,ORL,54,52,1565,674,105,268,373,62,43,14,113,176,588,258,194,135,81,23,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palmewe01w,4,CON,54,54,1616,597,85,258,343,64,58,12,105,154,516,221,151,102,153,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palmewe01w,5,CON,64,33,1398,513,76,219,295,57,46,11,92,152,448,188,120,85,166,52,0,4,0,64,29,1,11,12,3,0,0,7,9,22,13,3,2,4,1,0
palmewe01w,6,SAS,65,34,1219,446,76,212,288,46,34,8,75,139,400,166,113,91,87,23,0,12,8,220,73,11,36,47,4,3,3,15,20,71,31,11,7,16,4,0
palmewe01w,7,SEA,67,62,1668,623,100,275,375,63,43,12,82,151,495,233,155,120,97,37,0,8,8,156,44,10,25,35,1,3,3,8,11,49,18,8,5,12,3,0
palmewe01w,8,SEA,39,31,1002,373,66,165,231,36,25,10,52,91,275,141,89,66,59,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parisco01w,10,SAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
