year,tmID,rank,playoff,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,award_count_x,won,lost,post_wins,post_losses,award_count_y
8,MIN,6.5,0,9.5,7.5,2.5,14.5,7.5,13.5,6837.5,111484.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,44.0,0.0,1.0,29.0,16.833333333333332,620.9166666666666,239.08333333333334,23.75,61.833333333333336,85.58333333333333,52.75,19.25,7.333333333333333,49.666666666666664,53.5,202.66666666666666,87.08333333333333,63.0,48.583333333333336,44.75,16.333333333333332,0.08333333333333333,0.25,0.0,0.6666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,71.41666666666667,162.5,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
8,NYL,4.0,1,8.5,8.5,6.0,11.0,8.0,12.0,6900.0,163714.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,39.0,1.0,0.0,31.714285714285715,10.357142857142858,580.5,185.0,26.285714285714285,61.285714285714285,87.57142857142857,34.92857142857143,22.5,9.5,42.357142857142854,57.857142857142854,162.07142857142858,64.78571428571429,50.785714285714285,38.857142857142854,49.142857142857146,16.571428571428573,0.2857142857142857,1.0,0.07142857142857142,12.285714285714286,2.642857142857143,0.5714285714285714,1.2857142857142858,1.8571428571428572,0.5714285714285714,0.07142857142857142,0.07142857142857142,0.5,1.2857142857142858,2.857142857142857,0.8571428571428571,0.7142857142857143,0.5,1.2142857142857142,0.42857142857142855,0.0,72.35714285714286,173.21428571428572,0.0,29.0,39.0,0.0,2.0,0.0
8,PHO,5.0,1,10.5,6.5,6.5,10.5,10.0,11.0,6850.0,125473.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,1.0,46.76923076923077,23.76923076923077,1008.0769230769231,422.46153846153845,43.23076923076923,101.46153846153847,144.69230769230768,83.38461538461539,38.92307692307692,19.23076923076923,71.6923076923077,103.6923076923077,354.53846153846155,151.76923076923077,101.76923076923077,80.3076923076923,108.6923076923077,38.61538461538461,1.1538461538461537,1.9230769230769231,0.38461538461538464,26.384615384615383,6.538461538461538,1.0,1.3846153846153846,2.3846153846153846,2.3846153846153846,1.0,0.38461538461538464,1.3076923076923077,2.769230769230769,6.153846153846154,2.4615384615384617,1.3846153846153846,0.9230769230769231,1.4615384615384615,0.6923076923076923,0.0,72.15384615384616,166.0,0.07692307692307693,18.0,16.0,0.0,0.0,0.0
8,SAC,1.5,1,14.5,2.5,8.5,8.5,13.5,7.5,6837.5,146476.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,46.0,22.0,0.0,1.0,51.333333333333336,26.0,1061.25,366.5833333333333,58.416666666666664,119.5,177.91666666666666,82.08333333333333,47.916666666666664,14.583333333333334,71.41666666666667,98.33333333333333,318.25,131.5,113.33333333333333,80.25,66.75,23.333333333333332,0.25,10.833333333333334,7.083333333333333,254.16666666666666,94.41666666666667,12.916666666666666,28.0,40.916666666666664,20.75,9.25,2.5833333333333335,14.666666666666666,21.75,80.41666666666667,35.083333333333336,23.833333333333332,17.166666666666668,16.333333333333332,7.083333333333333,0.0,73.0,166.83333333333334,0.25,0.0,0.0,0.0,0.0,0.0
8,SAS,6.5,1,5.5,11.5,4.5,12.5,6.5,14.5,6800.0,130401.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,48.0,0.0,1.0,42.7,34.4,1070.6,364.8,43.6,113.2,156.8,89.6,39.4,16.8,75.8,102.0,321.7,131.4,98.0,78.8,67.8,23.2,1.2,1.6,1.6,42.8,11.0,1.5,4.1,5.6,1.6,0.7,1.5,3.4,5.2,11.1,4.6,1.5,1.3,1.3,0.5,0.2,72.0,169.3,0.0,20.0,48.0,0.0,0.0,0.0
8,SEA,3.0,1,11.5,5.5,7.5,9.5,11.5,9.5,6812.5,148407.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,38.0,30.0,0.0,1.0,47.142857142857146,28.285714285714285,1023.5,377.2142857142857,50.642857142857146,118.21428571428571,168.85714285714286,78.85714285714286,30.571428571428573,21.928571428571427,76.71428571428571,99.21428571428571,313.2857142857143,137.14285714285714,100.14285714285714,77.5,72.42857142857143,25.428571428571427,1.2142857142857142,3.142857142857143,2.142857142857143,74.21428571428571,26.357142857142858,2.357142857142857,7.5,9.857142857142858,5.857142857142857,2.2857142857142856,1.2857142857142858,4.571428571428571,7.0,22.928571428571427,8.714285714285714,8.142857142857142,6.928571428571429,7.857142857142857,2.0,0.07142857142857142,72.92857142857143,171.07142857142858,0.14285714285714285,38.0,30.0,2.0,4.0,0.0
8,WAS,4.5,0,11.5,5.5,5.5,11.5,10.5,9.5,6875.0,152378.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,34.0,1.0,0.0,42.666666666666664,23.933333333333334,946.1333333333333,357.4,43.2,99.13333333333334,142.33333333333334,71.26666666666667,38.86666666666667,13.866666666666667,64.33333333333333,99.86666666666666,296.1333333333333,127.86666666666666,98.26666666666667,73.0,82.6,28.666666666666668,1.3333333333333333,1.4,0.8666666666666667,33.8,10.333333333333334,2.2,4.0,6.2,3.0,1.2666666666666666,0.26666666666666666,2.2,3.7333333333333334,11.6,3.8,3.2666666666666666,2.0,3.3333333333333335,0.7333333333333333,0.06666666666666667,72.6,173.26666666666668,0.0,17.0,17.0,0.0,1.0,0.0
9,ATL,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37.142857142857146,14.214285714285714,662.5714285714286,237.07142857142858,31.357142857142858,70.71428571428571,102.07142857142857,49.07142857142857,22.5,9.5,51.92857142857143,68.07142857142857,210.85714285714286,89.21428571428571,48.92857142857143,36.57142857142857,60.642857142857146,22.071428571428573,0.35714285714285715,3.2857142857142856,0.7142857142857143,45.92857142857143,16.785714285714285,1.2857142857142858,4.642857142857143,5.928571428571429,4.714285714285714,1.6428571428571428,0.6428571428571429,3.0,4.642857142857143,15.857142857142858,5.928571428571429,3.857142857142857,2.7857142857142856,6.714285714285714,2.142857142857143,0.07142857142857142,73.21428571428571,168.71428571428572,0.0,0.0,0.0,0.0,0.0,0.0
9,CHI,6.5,0,4.5,12.5,5.0,12.0,5.0,15.0,6886.0,62096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,49.0,1.0,0.0,35.07692307692308,19.615384615384617,767.0,276.15384615384613,43.30769230769231,89.76923076923077,133.07692307692307,63.23076923076923,30.76923076923077,15.23076923076923,50.46153846153846,66.92307692307692,241.84615384615384,102.6923076923077,86.61538461538461,60.69230769230769,30.692307692307693,10.076923076923077,0.38461538461538464,0.7692307692307693,0.3076923076923077,11.692307692307692,2.6153846153846154,0.9230769230769231,0.9230769230769231,1.8461538461538463,0.6923076923076923,0.07692307692307693,0.0,0.9230769230769231,1.0,2.5384615384615383,0.9230769230769231,1.2307692307692308,0.7692307692307693,0.23076923076923078,0.0,0.07692307692307693,72.38461538461539,170.69230769230768,0.07692307692307693,0.0,0.0,0.0,0.0,0.0
9,CON,2.0,1,11.0,6.0,11.0,6.0,12.5,7.5,6875.0,130793.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,44.0,24.0,1.0,0.0,31.846153846153847,16.384615384615383,717.6153846153846,289.0,32.76923076923077,81.6923076923077,114.46153846153847,69.53846153846153,27.692307692307693,6.769230769230769,57.76923076923077,62.07692307692308,243.6153846153846,105.92307692307692,74.92307692307692,59.92307692307692,54.15384615384615,17.23076923076923,0.3076923076923077,3.076923076923077,1.0769230769230769,75.07692307692308,30.0,2.6923076923076925,8.76923076923077,11.461538461538462,6.6923076923076925,1.6153846153846154,0.7692307692307693,5.923076923076923,6.6923076923076925,28.076923076923077,11.076923076923077,7.0,5.0,7.230769230769231,2.8461538461538463,0.07692307692307693,71.15384615384616,168.0,0.0,44.0,24.0,4.0,4.0,1.0
9,DET,1.5,1,13.0,4.0,10.5,6.5,14.0,6.0,6837.5,162595.5,2.0,2.0,0.0,2.0,0.0,1.0,1.0,47.0,21.0,1.0,0.0,37.0,18.42105263157895,831.6315789473684,322.6842105263158,53.526315789473685,113.47368421052632,167.0,62.68421052631579,30.210526315789473,16.0,61.89473684210526,84.10526315789474,272.7894736842105,117.3157894736842,96.63157894736842,71.94736842105263,49.526315789473685,16.105263157894736,0.631578947368421,7.105263157894737,3.8947368421052633,177.47368421052633,70.57894736842105,11.789473684210526,25.31578947368421,37.10526315789474,13.947368421052632,5.105263157894737,3.3157894736842106,12.473684210526315,19.36842105263158,62.0,26.263157894736842,19.36842105263158,13.842105263157896,10.842105263157896,4.2105263157894735,0.15789473684210525,72.63157894736842,170.17234262125902,0.21052631578947367,47.0,21.0,13.0,8.0,0.0
9,HOU,4.0,0,9.5,7.5,6.0,11.0,10.5,10.5,6862.5,134701.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,37.0,0.0,1.0,40.42857142857143,22.285714285714285,870.9285714285714,342.2857142857143,46.57142857142857,102.5,149.07142857142858,63.5,34.92857142857143,13.0,72.07142857142857,91.5,291.7857142857143,125.28571428571429,92.07142857142857,70.35714285714286,59.714285714285715,21.357142857142858,0.7142857142857143,2.5,0.6428571428571429,48.142857142857146,18.857142857142858,2.357142857142857,4.642857142857143,7.0,4.5,1.6428571428571428,0.7142857142857143,3.142857142857143,5.642857142857143,16.642857142857142,6.571428571428571,4.857142857142857,3.857142857142857,4.928571428571429,1.8571428571428572,0.07142857142857142,71.28571428571429,162.22408963585434,0.07142857142857142,13.0,21.0,0.0,0.0,0.0
9,IND,2.5,1,12.0,5.0,9.0,8.0,12.0,8.0,6862.5,128341.5,2.0,1.0,1.0,0.0,1.0,0.0,0.0,42.0,26.0,1.0,0.0,45.8,27.4,1044.9333333333334,392.6666666666667,49.8,112.8,162.6,85.13333333333334,54.06666666666667,19.133333333333333,83.73333333333333,100.66666666666667,337.3333333333333,139.66666666666666,108.6,82.66666666666667,94.73333333333333,30.666666666666668,0.8,3.4,2.1333333333333333,77.66666666666667,24.466666666666665,3.2,9.666666666666666,12.866666666666667,6.133333333333334,3.4,1.6,5.333333333333333,6.933333333333334,24.066666666666666,8.4,7.066666666666666,5.2,8.666666666666666,2.466666666666667,0.13333333333333333,72.0,173.2,0.26666666666666666,0.0,0.0,0.0,0.0,0.0
9,LAS,4.0,1,10.0,7.0,7.5,9.5,10.5,10.5,6862.5,144546.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,33.0,0.0,1.0,37.93333333333333,22.866666666666667,784.0,293.73333333333335,40.6,113.66666666666667,154.26666666666668,61.4,28.2,22.733333333333334,63.53333333333333,85.33333333333333,258.26666666666665,111.53333333333333,73.0,55.6,44.8,15.066666666666666,1.0,2.6666666666666665,1.7333333333333334,64.66666666666667,21.866666666666667,4.0,8.8,12.8,4.133333333333334,2.466666666666667,2.6,3.7333333333333334,6.866666666666666,20.933333333333334,8.4,5.533333333333333,4.4,1.8,0.6666666666666666,0.0,71.57875816993464,166.93333333333334,0.13333333333333333,10.0,24.0,0.0,0.0,0.0
