total_wins,total_losses,PostoRebounds,PostdRebounds,PostRebounds,PostSteals,PostPF,PostftAttempted,W,L,playoff,year,tmID,confID_EA,confID_WE
0.0,0.0,0.1111111111111111,0.8333333333333334,0.9444444444444444,0.3888888888888889,0.7777777777777778,0.9444444444444444,0.0,0.0,0,5,PHO,0.0,1.0
2.0,1.0,2.65,8.05,10.7,1.25,6.0,5.3,3.0,3.0,1,5,SAC,0.0,1.0
0.0,0.0,1.5,5.375,6.875,1.152777777777778,3.6666666666666665,5.055555555555556,0.0,0.0,0,5,SAS,0.0,1.0
0.0,0.0,0.9833333333333334,2.05,3.033333333333333,1.25,1.9833333333333327,2.216666666666667,0.0,2.0,1,5,SEA,0.0,1.0
2.0,1.0,1.55,3.55,5.1,0.95,3.0,4.65,3.0,2.0,1,5,WAS,1.0,0.0
0.0,0.0,2.1153846153846154,4.769230769230769,6.884615384615385,1.8846153846153848,3.730769230769231,3.1923076923076925,0.0,0.0,0,6,CHA,1.0,0.0
3.0,0.5,5.1,11.5,16.6,4.7,9.5,12.1,7.0,5.0,1,6,CON,1.0,0.0
3.0,0.5,4.25,9.095238095238097,13.345238095238097,2.4404761904761902,6.511904761904762,8.785714285714286,7.0,4.0,1,6,DET,1.0,0.0
0.0,1.0,1.681818181818182,3.136363636363636,4.818181818181818,1.4090909090909092,2.272727272727273,3.1818181818181817,1.0,2.0,1,6,HOU,0.0,1.0
0.0,0.0,0.3125,1.5,1.8125,0.625,1.3125,0.625,0.0,0.0,1,6,IND,1.0,0.0
2.0,1.0,3.625,9.75,13.375,2.9166666666666665,8.416666666666666,6.333333333333333,6.0,6.0,1,6,LAS,0.0,1.0
0.0,0.0,0.9545454545454546,2.8030303030303028,3.757575757575758,0.6060606060606061,2.924242424242424,3.0,0.0,0.0,0,6,MIN,0.0,1.0
2.0,0.0,1.9242424242424243,3.8181818181818175,5.742424242424243,1.5757575757575757,4.666666666666667,2.393939393939394,2.0,3.0,1,6,NYL,1.0,0.0
0.0,0.0,0.6363636363636364,1.318181818181818,1.9545454545454544,0.5909090909090909,1.181818181818182,1.3636363636363635,0.0,0.0,0,6,PHO,0.0,1.0
2.0,1.0,5.875,10.625,16.5,4.1875,8.25,9.625,6.0,6.0,1,6,SAC,0.0,1.0
0.0,0.0,1.1666666666666667,4.5,5.666666666666667,0.8333333333333334,3.7222222222222223,2.7777777777777777,0.0,0.0,0,6,SAS,0.0,1.0
6.0,0.0,3.8125,8.25,12.0625,3.0,6.3125,6.375,6.0,2.0,1,6,SEA,0.0,1.0
0.0,0.0,2.227272727272727,5.363636363636363,7.590909090909091,1.7727272727272727,4.727272727272728,5.818181818181818,0.0,0.0,0,6,WAS,1.0,0.0
0.0,0.0,1.625,3.25,4.875,1.375,2.6666666666666665,2.0625,0.0,0.0,0,7,CHA,1.0,0.0
0.0,0.0,1.5416666666666667,3.5416666666666665,5.083333333333333,1.125,4.75,4.333333333333333,0.0,0.0,0,7,CHI,1.0,0.0
4.0,1.0,6.6,15.8,22.4,5.65,11.4,15.85,10.0,6.0,1,7,CON,1.0,0.0
0.0,0.5,2.196969696969697,4.075757575757576,6.2727272727272725,1.5,3.393939393939394,4.9393939393939394,1.0,4.0,1,7,DET,1.0,0.0
2.0,0.0,1.7727272727272727,5.4393939393939394,7.212121212121212,1.4090909090909092,4.409090909090909,4.848484848484848,2.0,3.0,1,7,HOU,0.0,1.0
2.0,0.0,1.3888888888888888,3.2777777777777777,4.666666666666667,1.3333333333333333,3.4444444444444446,2.833333333333333,2.0,2.0,1,7,IND,1.0,0.0
0.0,0.5,1.6111111111111112,4.0,5.611111111111111,1.1111111111111112,3.333333333333333,2.5,1.0,4.0,1,7,LAS,0.0,1.0
0.0,0.0,0.4375,0.9375,1.375,0.125,0.9583333333333331,1.0,0.0,0.0,0,7,MIN,0.0,1.0
0.0,0.0,1.3,2.4,3.7,0.55,3.5333333333333337,2.1166666666666667,0.0,0.0,0,7,NYL,1.0,0.0
0.0,0.0,0.6363636363636364,1.2727272727272727,1.9090909090909087,0.7727272727272727,1.818181818181818,1.5454545454545454,0.0,0.0,0,7,PHO,0.0,1.0
4.5,0.5,7.1875,15.875,23.0625,6.875,12.625,12.875,10.0,4.0,1,7,SAC,0.0,1.0
0.0,0.0,0.6111111111111112,1.0555555555555556,1.6666666666666667,0.3333333333333333,1.0,1.1111111111111112,0.0,0.0,0,7,SAS,0.0,1.0
3.0,0.5,2.708333333333333,7.333333333333333,10.041666666666666,2.625,6.625,6.333333333333333,7.0,4.0,1,7,SEA,0.0,1.0
0.0,1.0,1.75,4.375,6.125,1.8125,4.1875,3.875,1.0,2.0,1,7,WAS,1.0,0.0
0.0,0.0,1.3333333333333333,1.7777777777777777,3.111111111111111,0.1111111111111111,2.055555555555556,2.0,0.0,0.0,0,8,CHI,1.0,0.0
3.0,1.0,4.888888888888889,11.61111111111111,16.5,3.388888888888889,8.555555555555555,12.055555555555555,8.0,5.0,1,8,CON,1.0,0.0
3.5,0.0,5.283333333333333,11.533333333333331,16.816666666666666,2.8666666666666663,8.966666666666667,10.616666666666667,7.0,5.0,1,8,DET,1.0,0.0
0.0,0.0,2.1666666666666665,6.333333333333333,8.5,1.75,5.583333333333333,5.458333333333333,0.0,0.0,0,8,HOU,0.0,1.0
1.0,0.0,1.3636363636363635,3.090909090909091,4.454545454545454,1.0909090909090908,3.636363636363636,3.363636363636364,2.0,4.0,1,8,IND,1.0,0.0
0.0,0.0,3.1666666666666665,6.435897435897436,9.602564102564102,1.551282051282051,5.038461538461538,4.0256410256410255,0.0,0.0,0,8,LAS,0.0,1.0
