awayW,total_first_round_won,total_semis_won,total_wins,total_losses,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostftAttempted,PostftMade,post_wins,W,L,playoff,year
13.0,2.0,2.0,5.0,0.5,43.0,1570.0,61.0,184.5,245.5,170.0,65.0,38.5,96.5,150.0,152.5,119.0,5.5,11.0,4.0,1,5
5.0,0.0,0.0,0.0,1.0,9.666666666666666,291.3333333333333,7.0,26.83333333333333,33.833333333333336,41.333333333333336,15.0,3.333333333333333,29.666666666666668,33.333333333333336,22.0,20.0,1.0,1.0,2.0,1,5
6.5,1.0,1.0,4.0,0.0,12.0,472.0,17.0,42.0,59.0,32.0,14.5,3.0,23.5,33.0,34.0,26.5,2.0,4.0,4.0,1,5
1.5,0.0,0.0,0.0,0.0,3.0,99.0,1.0,7.5,8.5,7.0,3.5,0.5,5.5,7.0,8.5,6.5,0.0,0.0,0.0,0,5
5.5,1.0,0.0,2.0,1.0,15.0,687.0,26.5,80.5,107.0,50.0,12.5,11.5,43.0,60.0,53.0,41.0,3.0,3.0,3.0,1,5
3.0,0.0,0.0,0.0,0.0,12.5,473.1666666666667,18.0,64.5,82.5,32.166666666666664,13.833333333333334,13.5,42.0,44.0,60.66666666666667,45.333333333333336,0.0,0.0,0.0,0,5
6.0,0.0,0.0,0.0,0.0,5.5,216.5,9.833333333333334,20.5,30.33333333333333,16.5,12.5,4.0,16.833333333333332,19.83333333333333,22.166666666666668,17.333333333333336,0.0,0.0,2.0,1,5
7.0,1.0,0.0,2.0,1.0,9.0,333.0,15.5,35.5,51.0,27.0,9.5,5.5,16.5,30.0,46.5,36.0,0.0,3.0,2.0,1,5
5.5,0.0,0.0,0.0,0.0,15.0,516.5,27.5,62.0,89.5,42.0,24.5,10.5,42.0,48.5,41.5,30.5,0.0,0.0,0.0,0,6
8.0,2.0,1.0,3.0,0.5,29.0,1171.0,51.0,115.0,166.0,94.5,47.0,14.5,64.5,95.0,121.0,96.0,3.5,7.0,5.0,1,6
10.5,1.0,1.0,3.0,0.5,29.5,1073.6666666666667,59.5,127.33333333333331,186.83333333333331,91.0,34.166666666666664,25.5,70.33333333333333,91.16666666666669,123.0,96.0,3.5,7.0,4.0,1,6
5.0,0.0,0.0,0.0,1.0,8.5,314.0,18.5,34.5,53.0,20.5,15.5,6.0,18.5,25.0,35.0,28.5,0.5,1.0,2.0,1,6
5.0,0.0,0.0,0.0,0.0,1.5,97.0,2.5,12.0,14.5,7.5,5.0,0.5,5.0,10.5,5.0,3.5,0.0,0.0,0.0,1,6
11.5,1.0,1.0,2.0,1.0,27.0,1017.5,43.5,117.0,160.5,98.0,35.0,21.5,69.5,101.0,76.0,62.5,0.0,6.0,6.0,1,6
7.0,0.0,0.0,0.0,0.0,6.0,382.1666666666667,10.5,30.83333333333333,41.333333333333336,28.5,6.666666666666667,5.5,29.83333333333333,32.166666666666664,33.0,23.0,0.5,0.0,0.0,0,6
6.0,1.0,0.0,2.0,0.0,10.0,474.1666666666666,21.166666666666668,42.0,63.16666666666667,35.0,17.333333333333332,10.0,31.166666666666664,51.333333333333336,26.33333333333333,19.83333333333333,2.0,2.0,3.0,1,6
4.5,0.0,0.0,0.0,0.0,5.5,151.5,7.0,14.5,21.5,4.5,6.5,4.0,9.5,13.0,15.0,10.5,0.0,0.0,0.0,0,6
7.5,2.0,0.0,2.0,1.0,18.0,816.5,47.0,85.0,132.0,64.0,33.5,19.5,58.0,66.0,77.0,58.5,3.0,6.0,6.0,1,6
3.0,0.0,0.0,0.0,0.0,13.5,370.5,10.5,40.5,51.0,22.0,7.5,5.0,23.5,33.5,25.0,18.5,1.0,0.0,0.0,0,6
6.0,1.0,1.0,6.0,0.0,13.5,593.5,30.5,66.0,96.5,46.5,24.0,12.5,43.0,50.5,51.0,43.0,3.0,6.0,2.0,1,6
6.0,0.0,0.0,0.0,0.0,13.5,506.5,24.5,59.0,83.5,32.5,19.5,20.5,32.0,52.0,64.0,52.0,0.0,0.0,0.0,0,6
3.5,0.0,0.0,0.0,0.0,8.0,239.83333333333331,13.0,26.0,39.0,19.83333333333333,11.0,6.0,23.83333333333333,21.33333333333333,16.5,12.0,0.0,0.0,0.0,0,7
10.0,2.0,2.0,4.0,1.0,35.5,1449.5,66.0,158.0,224.0,102.0,56.5,28.0,92.5,114.0,158.5,119.0,5.0,10.0,6.0,1,7
6.5,0.0,0.0,0.0,0.5,10.666666666666666,408.5,24.166666666666668,44.833333333333336,69.0,31.83333333333333,16.5,10.5,27.666666666666668,37.333333333333336,54.333333333333336,39.16666666666666,0.5,1.0,4.0,1,7
6.0,1.0,0.0,2.0,0.0,12.0,495.6666666666666,19.5,59.833333333333336,79.33333333333333,33.66666666666667,15.5,5.5,37.833333333333336,48.5,53.33333333333333,40.5,1.0,2.0,3.0,1,7
6.0,1.0,0.0,2.0,0.0,5.0,303.0,12.5,29.5,42.0,25.0,12.0,2.0,21.5,31.0,25.5,19.0,1.0,2.0,2.0,1,7
8.0,0.0,0.0,0.0,0.5,8.5,321.5,14.5,36.0,50.5,17.5,10.0,7.5,18.0,30.0,22.5,16.5,0.0,1.0,4.0,1,7
5.0,0.0,0.0,0.0,0.0,2.0,99.83333333333334,3.5,7.5,11.0,7.333333333333334,1.0,1.5,8.333333333333334,7.666666666666666,8.0,4.5,0.0,0.0,0.0,0,7
7.5,1.0,0.0,0.0,0.0,5.0,311.83333333333337,13.0,24.0,37.0,16.0,5.5,4.0,22.5,35.333333333333336,21.166666666666668,15.666666666666666,1.0,0.0,0.0,0,7
6.0,0.0,0.0,0.0,0.0,6.5,242.0,7.0,14.0,21.0,17.0,8.5,3.5,13.0,20.0,17.0,11.0,0.0,0.0,0.0,0,7
9.0,2.0,1.0,4.5,0.5,25.0,1195.5,57.5,127.0,184.5,99.0,55.0,17.5,76.5,101.0,103.0,75.5,5.0,10.0,4.0,1,7
2.5,0.0,0.0,0.0,0.0,3.5,122.5,5.5,9.5,15.0,12.0,3.0,0.5,4.5,9.0,10.0,8.5,0.0,0.0,0.0,0,7
6.5,1.0,1.0,3.0,0.5,25.0,841.0,32.5,88.0,120.5,62.0,31.5,14.5,55.5,79.5,76.0,66.5,3.5,7.0,4.0,1,7
6.0,0.0,0.0,0.0,1.0,10.0,346.5,14.0,35.0,49.0,32.0,14.5,8.5,23.5,33.5,31.0,25.5,0.0,1.0,2.0,1,7
2.0,0.0,0.0,0.0,0.0,4.5,188.5,12.0,16.0,28.0,13.0,1.0,1.0,14.5,18.5,18.0,12.5,0.0,0.0,0.0,0,8
12.0,2.0,1.0,3.0,1.0,25.0,957.0,44.0,104.5,148.5,66.0,30.5,25.5,65.5,77.0,108.5,77.0,4.0,8.0,5.0,1,8
6.5,1.0,1.0,3.5,0.0,22.0,849.8333333333334,52.833333333333336,115.33333333333331,168.16666666666666,74.5,28.666666666666664,14.0,65.0,89.66666666666667,106.16666666666669,78.5,3.5,7.0,5.0,1,8
7.0,1.0,0.0,0.0,0.0,13.0,647.5,26.0,76.0,102.0,42.5,21.0,14.5,43.5,67.0,65.5,50.0,0.0,0.0,0.0,0,8
8.0,1.0,0.0,1.0,0.0,10.0,353.0,15.0,34.0,49.0,19.5,12.0,3.5,25.5,40.0,37.0,26.5,1.0,2.0,4.0,1,8
